latitude,longitude,datetime
84.99177,135.16769,2019-10-07 06:01:42
84.99010,135.19537,2019-10-07 06:46:08
84.98936,135.20749,2019-10-07 07:05:15
84.98712,135.24060,2019-10-07 08:02:12
84.98476,135.27460,2019-10-07 09:01:54
84.98244,135.31078,2019-10-07 10:01:54
84.97988,135.35612,2019-10-07 11:02:15
84.97725,135.41095,2019-10-07 12:01:54
84.97443,135.46843,2019-10-07 13:02:16
84.97171,135.52713,2019-10-07 14:02:12
84.96858,135.58839,2019-10-07 15:01:23
84.96500,135.65065,2019-10-07 16:01:24
84.96088,135.71156,2019-10-07 17:01:54
84.95697,135.76947,2019-10-07 18:01:39
84.95281,135.82954,2019-10-07 19:02:12
84.94897,135.88776,2019-10-07 20:01:54
84.94571,135.95012,2019-10-07 21:01:54
84.94265,136.02304,2019-10-07 22:01:54
84.93923,136.11012,2019-10-07 23:01:21
84.93538,136.20505,2019-10-08 00:02:12
84.93137,136.30399,2019-10-08 01:01:46
84.92702,136.40485,2019-10-08 02:01:42
84.92227,136.50597,2019-10-08 03:01:24
84.91706,136.60138,2019-10-08 04:01:16
84.91145,136.69138,2019-10-08 05:01:43
84.90561,136.77277,2019-10-08 06:01:24
84.89948,136.84091,2019-10-08 07:01:37
84.89324,136.89551,2019-10-08 08:01:22
84.88705,136.93700,2019-10-08 09:01:36
84.88118,136.96429,2019-10-08 10:01:44
84.87495,136.97610,2019-10-08 11:02:09
84.86885,136.97859,2019-10-08 12:01:54
84.86343,136.97498,2019-10-08 13:01:54
84.85849,136.96928,2019-10-08 14:01:39
84.85426,136.96320,2019-10-08 15:01:24
84.85067,136.95844,2019-10-08 16:01:24
84.84729,136.95558,2019-10-08 17:01:48
84.84397,136.95497,2019-10-08 18:01:40
84.84023,136.95230,2019-10-08 19:01:45
84.83629,136.94543,2019-10-08 20:01:24
84.83262,136.93254,2019-10-08 21:01:18
84.82928,136.91554,2019-10-08 22:01:18
84.82626,136.89244,2019-10-08 23:02:18
84.82422,136.86557,2019-10-09 00:02:12
84.82276,136.83850,2019-10-09 01:01:40
