latitude,longitude,datetime
85.13314,135.51830,2019-10-10 04:50:23
85.13385,135.43756,2019-10-10 07:50:26
85.12973,135.35934,2019-10-10 10:50:45
85.12561,135.29256,2019-10-10 13:50:37
85.12328,135.29723,2019-10-10 16:50:45
85.11799,135.39941,2019-10-10 19:50:37
85.10652,135.52332,2019-10-10 22:50:47
85.09235,135.59312,2019-10-11 01:50:37
85.08216,135.63733,2019-10-11 04:50:51
85.06976,135.73444,2019-10-11 07:50:36
85.05595,135.76601,2019-10-11 10:50:47
85.04810,135.77769,2019-10-11 13:50:36
85.04437,135.84947,2019-10-11 16:50:46
85.03985,135.93916,2019-10-11 19:50:38
85.03778,135.96143,2019-10-11 22:50:46
85.04496,135.94786,2019-10-12 01:50:38
85.05690,135.95911,2019-10-12 04:50:49
85.06417,135.93832,2019-10-12 07:50:38
85.06686,135.83768,2019-10-12 10:50:46
85.07091,135.68137,2019-10-12 13:50:38
85.07465,135.58527,2019-10-12 16:50:46
85.07347,135.50356,2019-10-12 19:50:37
85.07101,135.34702,2019-10-12 22:50:46
85.07057,135.19051,2019-10-13 01:50:37
85.06884,135.09206,2019-10-13 04:50:50
85.06378,135.01338,2019-10-13 07:50:38
85.05755,134.92574,2019-10-13 10:50:46
85.05137,134.88136,2019-10-13 13:50:38
85.04224,134.90823,2019-10-13 16:50:46
85.02629,134.86526,2019-10-13 19:50:38
85.01249,134.72047,2019-10-13 22:50:46
85.00231,134.58911,2019-10-14 01:50:38
84.99380,134.50905,2019-10-14 04:50:50
84.98490,134.46770,2019-10-14 07:50:38
84.97556,134.40298,2019-10-14 10:50:48
84.97126,134.32922,2019-10-14 13:50:38
84.96963,134.32239,2019-10-14 16:50:47
84.96892,134.33554,2019-10-14 17:50:48
84.96692,134.36337,2019-10-14 19:51:00
84.96517,134.36571,2019-10-14 21:53:38
84.96508,134.34053,2019-10-14 23:53:38
84.96688,134.31389,2019-10-15 01:53:37
84.96935,134.30769,2019-10-15 03:53:38
84.97095,134.31802,2019-10-15 05:53:43
84.97091,134.32016,2019-10-15 07:53:37
84.97035,134.29390,2019-10-15 09:53:38
84.97065,134.24359,2019-10-15 11:53:38
84.97234,134.19370,2019-10-15 13:53:37
84.97429,134.16461,2019-10-15 15:53:38
84.97497,134.14975,2019-10-15 17:53:38
84.97358,134.12502,2019-10-15 19:53:37
84.97209,134.05592,2019-10-15 21:53:39
84.97159,133.95348,2019-10-15 23:53:38
84.97283,133.85196,2019-10-16 01:53:37
84.97439,133.78340,2019-10-16 03:53:38
84.97408,133.74879,2019-10-16 05:53:47
84.97178,133.71606,2019-10-16 07:53:42
84.96914,133.66154,2019-10-16 09:53:41
84.96804,133.58167,2019-10-16 11:53:41
84.96885,133.50465,2019-10-16 13:53:42
84.97042,133.45210,2019-10-16 15:53:41
84.97064,133.42255,2019-10-16 17:53:43
84.96879,133.39400,2019-10-16 19:53:43
84.96628,133.34235,2019-10-16 21:53:41
84.96455,133.25838,2019-10-16 23:53:41
84.96401,133.17314,2019-10-17 01:53:43
84.96439,133.11703,2019-10-17 03:53:41
84.96456,133.10497,2019-10-17 05:53:45
84.96329,133.10757,2019-10-17 07:53:43
84.96109,133.09499,2019-10-17 09:53:41
84.95964,133.06676,2019-10-17 11:53:42
84.96020,133.04320,2019-10-17 13:53:43
84.96225,133.05061,2019-10-17 15:53:41
84.96432,133.09538,2019-10-17 17:53:41
84.96608,133.14612,2019-10-17 19:53:42
84.96827,133.17155,2019-10-17 21:53:42
84.97322,133.17404,2019-10-17 23:53:43
84.98149,133.17874,2019-10-18 01:53:43
84.99142,133.20538,2019-10-18 03:53:39
85.00144,133.25038,2019-10-18 05:53:40
85.01028,133.29013,2019-10-18 07:53:38
85.01870,133.30322,2019-10-18 09:53:39
85.02927,133.29066,2019-10-18 11:53:38
85.04273,133.28522,2019-10-18 13:53:38
85.05793,133.30666,2019-10-18 15:53:39
85.07155,133.34975,2019-10-18 17:53:38
85.08240,133.39182,2019-10-18 19:53:38
85.09284,133.40814,2019-10-18 21:53:39
85.10502,133.39581,2019-10-18 23:53:38
85.11789,133.37827,2019-10-19 01:53:38
85.12958,133.38553,2019-10-19 03:53:39
85.13676,133.38931,2019-10-19 05:53:41
85.14096,133.37030,2019-10-19 07:53:38
85.14610,133.32195,2019-10-19 09:53:38
85.15299,133.25471,2019-10-19 11:53:38
85.16115,133.18854,2019-10-19 13:53:38
85.16888,133.13545,2019-10-19 15:53:39
85.17412,133.08607,2019-10-19 17:53:38
85.17700,133.02841,2019-10-19 19:53:38
85.17880,132.96371,2019-10-19 21:53:38
85.18200,132.90073,2019-10-19 23:53:38
85.18722,132.84731,2019-10-20 01:53:38
85.19311,132.81183,2019-10-20 03:53:39
85.19797,132.79411,2019-10-20 05:53:40
85.20179,132.77446,2019-10-20 07:53:42
85.20573,132.74063,2019-10-20 09:53:39
85.21162,132.70180,2019-10-20 11:53:38
85.21985,132.67371,2019-10-20 13:53:37
85.22967,132.67207,2019-10-20 15:53:38
85.23948,132.71524,2019-10-20 17:53:38
85.24791,132.77609,2019-10-20 19:53:37
85.25418,132.80283,2019-10-20 21:53:38
85.26381,132.77892,2019-10-20 23:53:38
85.27850,132.75050,2019-10-21 01:53:38
85.29414,132.73784,2019-10-21 03:53:38
85.30815,132.72789,2019-10-21 05:53:40
85.31771,132.69606,2019-10-21 07:53:43
85.32746,132.62004,2019-10-21 09:53:38
85.34009,132.51514,2019-10-21 11:53:38
85.35492,132.40727,2019-10-21 13:53:37
85.36951,132.31284,2019-10-21 15:53:38
85.38177,132.22652,2019-10-21 17:53:38
85.39223,132.13104,2019-10-21 19:53:37
85.40346,132.01312,2019-10-21 21:53:39
85.41728,131.87904,2019-10-21 23:53:38
85.43302,131.75214,2019-10-22 01:53:37
85.44884,131.64082,2019-10-22 03:53:39
85.46231,131.53490,2019-10-22 05:53:41
85.47345,131.41129,2019-10-22 07:53:45
85.48265,131.27084,2019-10-22 09:53:39
85.49141,131.11691,2019-10-22 11:53:38
85.49961,130.96748,2019-10-22 13:53:43
85.50747,130.83224,2019-10-22 15:53:42
85.51498,130.71152,2019-10-22 17:53:38
85.52160,130.60394,2019-10-22 19:53:37
85.52736,130.48917,2019-10-22 21:53:38
85.53388,130.36346,2019-10-22 23:53:38
85.54083,130.23907,2019-10-23 01:53:37
85.54747,130.12410,2019-10-23 03:53:38
85.55226,130.02646,2019-10-23 05:53:38
85.55567,129.93114,2019-10-23 07:53:42
85.55854,129.83533,2019-10-23 09:53:39
85.56136,129.75104,2019-10-23 11:53:38
85.56497,129.67043,2019-10-23 13:53:40
85.56880,129.59435,2019-10-23 15:53:39
85.57206,129.52110,2019-10-23 17:53:38
85.57469,129.45073,2019-10-23 19:53:37
85.57763,129.37567,2019-10-23 21:53:36
85.58164,129.29288,2019-10-23 23:53:39
85.58753,129.20789,2019-10-24 01:53:38
85.59451,129.13380,2019-10-24 03:53:38
85.60067,129.06473,2019-10-24 05:53:38
85.60562,128.98196,2019-10-24 07:53:43
85.60994,128.88387,2019-10-24 09:53:38
85.61435,128.76826,2019-10-24 11:53:38
85.61957,128.64742,2019-10-24 13:53:38
85.62555,128.52979,2019-10-24 15:53:38
85.63114,128.42520,2019-10-24 17:53:39
85.63457,128.32701,2019-10-24 19:53:38
85.63726,128.21930,2019-10-24 21:53:39
85.64039,128.11137,2019-10-24 23:53:39
85.64403,128.01160,2019-10-25 01:53:37
85.64765,127.93008,2019-10-25 03:53:38
85.64987,127.87788,2019-10-25 05:53:38
85.65075,127.83174,2019-10-25 07:53:43
85.65136,127.77049,2019-10-25 09:53:38
85.65220,127.70402,2019-10-25 11:53:38
85.65343,127.64494,2019-10-25 13:53:37
85.65501,127.59926,2019-10-25 15:53:38
85.65613,127.56363,2019-10-25 17:53:38
85.65625,127.52846,2019-10-25 19:53:38
85.65596,127.48463,2019-10-25 21:53:38
85.65597,127.43302,2019-10-25 23:53:38
85.65680,127.38618,2019-10-26 01:53:37
85.65810,127.35326,2019-10-26 03:53:38
85.65914,127.33023,2019-10-26 05:53:38
85.65969,127.30257,2019-10-26 07:53:43
85.66020,127.25959,2019-10-26 09:53:38
85.66129,127.20519,2019-10-26 11:53:38
85.66329,127.15368,2019-10-26 13:53:37
