latitude,longitude,datetime
84.87084,135.75772,2019-10-07 02:40:00
84.87064,135.76369,2019-10-07 02:50:00
84.87042,135.76974,2019-10-07 03:00:00
84.87020,135.77567,2019-10-07 03:10:00
84.86996,135.78159,2019-10-07 03:20:00
84.86972,135.78751,2019-10-07 03:30:00
84.86946,135.79349,2019-10-07 03:40:00
84.86919,135.79944,2019-10-07 03:50:00
84.86892,135.80539,2019-10-07 04:00:00
84.86863,135.81143,2019-10-07 04:10:00
84.86832,135.81755,2019-10-07 04:20:00
84.86802,135.82353,2019-10-07 04:30:00
84.86770,135.82948,2019-10-07 04:40:00
84.86737,135.83542,2019-10-07 04:50:00
84.86704,135.84160,2019-10-07 05:00:00
84.86670,135.84785,2019-10-07 05:10:00
84.86636,135.85403,2019-10-07 05:20:00
84.86601,135.86018,2019-10-07 05:30:00
84.86565,135.86658,2019-10-07 05:40:00
84.86531,135.87224,2019-10-07 05:50:00
84.86496,135.87833,2019-10-07 06:00:00
84.86458,135.88431,2019-10-07 06:10:00
84.86418,135.89017,2019-10-07 06:20:00
84.86378,135.89601,2019-10-07 06:30:00
84.86340,135.90175,2019-10-07 06:40:00
84.86301,135.90739,2019-10-07 06:50:00
84.86264,135.91309,2019-10-07 07:00:00
84.86226,135.91885,2019-10-07 07:10:00
84.86186,135.92461,2019-10-07 07:20:00
84.86147,135.93019,2019-10-07 07:30:00
84.86106,135.93571,2019-10-07 07:40:00
84.86066,135.94109,2019-10-07 07:50:00
84.86024,135.94667,2019-10-07 08:01:00
84.85987,135.95178,2019-10-07 08:10:00
84.85948,135.95723,2019-10-07 08:20:00
84.85909,135.96260,2019-10-07 08:30:00
84.85870,135.96800,2019-10-07 08:40:00
84.85829,135.97346,2019-10-07 08:50:00
84.85791,135.97896,2019-10-07 09:00:00
84.85751,135.98463,2019-10-07 09:10:00
84.85711,135.99034,2019-10-07 09:20:00
84.85671,135.99602,2019-10-07 09:30:00
84.85632,136.00203,2019-10-07 09:40:00
84.85594,136.00810,2019-10-07 09:50:00
84.85556,136.01436,2019-10-07 10:00:00
84.85517,136.02083,2019-10-07 10:10:00
84.85477,136.02779,2019-10-07 10:20:00
84.85439,136.03487,2019-10-07 10:30:00
84.85401,136.04218,2019-10-07 10:40:00
84.85361,136.04936,2019-10-07 10:50:00
84.85319,136.05714,2019-10-07 11:00:00
84.85278,136.06497,2019-10-07 11:10:00
84.85239,136.07303,2019-10-07 11:20:00
84.85194,136.08147,2019-10-07 11:31:00
84.85159,136.08929,2019-10-07 11:40:00
84.85117,136.09761,2019-10-07 11:50:00
84.85074,136.10606,2019-10-07 12:00:00
84.85028,136.11465,2019-10-07 12:10:00
84.84982,136.12320,2019-10-07 12:20:00
84.84937,136.13187,2019-10-07 12:30:00
84.84891,136.14049,2019-10-07 12:40:00
84.84846,136.14925,2019-10-07 12:50:00
84.84799,136.15816,2019-10-07 13:00:00
84.84756,136.16708,2019-10-07 13:10:00
84.84712,136.17610,2019-10-07 13:20:00
84.84668,136.18500,2019-10-07 13:30:00
84.84622,136.19403,2019-10-07 13:40:00
84.84574,136.20302,2019-10-07 13:50:00
84.84524,136.21254,2019-10-07 14:00:00
84.84477,136.22131,2019-10-07 14:10:00
84.84428,136.23070,2019-10-07 14:20:00
84.84374,136.24022,2019-10-07 14:30:00
84.84320,136.24991,2019-10-07 14:40:00
84.84267,136.25964,2019-10-07 14:50:00
84.84208,136.27016,2019-10-07 15:00:00
84.84157,136.27983,2019-10-07 15:10:00
84.84098,136.29012,2019-10-07 15:20:00
84.84038,136.30014,2019-10-07 15:30:00
84.83974,136.31007,2019-10-07 15:40:00
84.83908,136.32001,2019-10-07 15:50:00
84.83844,136.32986,2019-10-07 16:00:00
84.83777,136.33975,2019-10-07 16:10:00
84.83710,136.34958,2019-10-07 16:20:00
84.83643,136.35918,2019-10-07 16:30:00
84.83573,136.36873,2019-10-07 16:40:00
84.83501,136.37866,2019-10-07 16:50:00
84.83435,136.38757,2019-10-07 17:00:00
84.83367,136.39690,2019-10-07 17:10:00
84.83301,136.40616,2019-10-07 17:20:00
84.83234,136.41548,2019-10-07 17:30:00
84.83167,136.42485,2019-10-07 17:40:00
84.83102,136.43422,2019-10-07 17:50:00
84.83035,136.44370,2019-10-07 18:00:00
84.82965,136.45316,2019-10-07 18:10:00
84.82893,136.46257,2019-10-07 18:20:00
84.82822,136.47195,2019-10-07 18:30:00
84.82751,136.48128,2019-10-07 18:40:00
84.82682,136.49059,2019-10-07 18:50:00
84.82611,136.50002,2019-10-07 19:00:00
84.82542,136.50932,2019-10-07 19:10:00
84.82478,136.51854,2019-10-07 19:20:00
84.82412,136.52771,2019-10-07 19:30:00
84.82346,136.53665,2019-10-07 19:40:00
84.82282,136.54549,2019-10-07 19:50:00
84.82213,136.55511,2019-10-07 20:01:00
84.82153,136.56390,2019-10-07 20:10:00
84.82092,136.57318,2019-10-07 20:20:00
84.82034,136.58281,2019-10-07 20:30:00
84.81977,136.59253,2019-10-07 20:40:00
84.81924,136.60251,2019-10-07 20:50:00
84.81871,136.61279,2019-10-07 21:00:00
84.81819,136.62332,2019-10-07 21:10:00
84.81768,136.63403,2019-10-07 21:20:00
84.81715,136.64532,2019-10-07 21:30:00
84.81660,136.65685,2019-10-07 21:40:00
84.81606,136.66895,2019-10-07 21:50:00
84.81551,136.68129,2019-10-07 22:00:00
84.81497,136.69405,2019-10-07 22:10:00
84.81442,136.70691,2019-10-07 22:20:00
84.81387,136.72021,2019-10-07 22:30:00
84.81328,136.73363,2019-10-07 22:40:00
84.81268,136.74780,2019-10-07 22:50:00
84.81204,136.76228,2019-10-07 23:00:00
84.81145,136.77675,2019-10-07 23:10:00
84.81080,136.79147,2019-10-07 23:20:00
84.81015,136.80638,2019-10-07 23:30:00
84.80948,136.82164,2019-10-07 23:40:00
84.80865,136.83607,2019-10-07 23:50:00
84.80808,136.85292,2019-10-08 00:00:00
84.80743,136.86774,2019-10-08 00:10:00
84.80674,136.88353,2019-10-08 00:20:00
84.80605,136.89951,2019-10-08 00:30:00
84.80534,136.91551,2019-10-08 00:40:00
84.80465,136.93163,2019-10-08 00:50:00
84.80394,136.94791,2019-10-08 01:00:00
84.80323,136.96410,2019-10-08 01:10:00
84.80250,136.98045,2019-10-08 01:20:00
84.80176,136.99681,2019-10-08 01:30:00
84.80102,137.01320,2019-10-08 01:40:00
84.80027,137.02954,2019-10-08 01:50:00
84.79949,137.04593,2019-10-08 02:00:00
84.79873,137.06238,2019-10-08 02:10:00
84.79796,137.07864,2019-10-08 02:20:00
84.79718,137.09514,2019-10-08 02:30:00
84.79638,137.11177,2019-10-08 02:40:00
84.79558,137.12839,2019-10-08 02:50:00
84.79474,137.14513,2019-10-08 03:00:00
84.79389,137.16138,2019-10-08 03:10:00
84.79305,137.17749,2019-10-08 03:20:00
84.79214,137.19403,2019-10-08 03:30:00
84.79131,137.20901,2019-10-08 03:40:00
84.79042,137.22453,2019-10-08 03:50:00
84.78953,137.23997,2019-10-08 04:00:00
84.78863,137.25517,2019-10-08 04:10:00
84.78772,137.27029,2019-10-08 04:20:00
84.78680,137.28532,2019-10-08 04:30:00
84.78587,137.30011,2019-10-08 04:40:00
84.78493,137.31473,2019-10-08 04:50:00
84.78398,137.32919,2019-10-08 05:00:00
84.78303,137.34349,2019-10-08 05:10:00
84.78207,137.35753,2019-10-08 05:20:00
84.78111,137.37144,2019-10-08 05:30:00
84.78012,137.38495,2019-10-08 05:40:00
84.77914,137.39839,2019-10-08 05:50:00
84.77810,137.41211,2019-10-08 06:00:00
84.77715,137.42418,2019-10-08 06:10:00
84.77613,137.43654,2019-10-08 06:20:00
84.77511,137.44832,2019-10-08 06:30:00
84.77409,137.45970,2019-10-08 06:40:00
84.77309,137.47061,2019-10-08 06:50:00
84.77206,137.48122,2019-10-08 07:00:00
84.77103,137.49136,2019-10-08 07:10:00
84.77000,137.50117,2019-10-08 07:20:00
84.76897,137.51070,2019-10-08 07:30:00
84.76793,137.51991,2019-10-08 07:40:00
84.76689,137.52867,2019-10-08 07:50:00
84.76585,137.53711,2019-10-08 08:00:00
84.76482,137.54515,2019-10-08 08:10:00
84.76379,137.55284,2019-10-08 08:20:00
84.76278,137.56029,2019-10-08 08:30:00
84.76179,137.56747,2019-10-08 08:40:00
84.76084,137.57478,2019-10-08 08:50:00
84.75985,137.58131,2019-10-08 09:00:00
84.75886,137.58714,2019-10-08 09:10:00
84.75797,137.59380,2019-10-08 09:20:00
84.75690,137.59851,2019-10-08 09:30:00
84.75602,137.60356,2019-10-08 09:40:00
84.75510,137.60858,2019-10-08 09:50:00
84.75416,137.61322,2019-10-08 10:00:00
84.75321,137.61754,2019-10-08 10:10:00
84.75223,137.62117,2019-10-08 10:20:00
84.75124,137.62430,2019-10-08 10:30:00
84.75024,137.62708,2019-10-08 10:40:00
84.74922,137.62959,2019-10-08 10:50:00
84.74821,137.63167,2019-10-08 11:00:00
84.74720,137.63342,2019-10-08 11:10:00
84.74618,137.63486,2019-10-08 11:20:00
84.74516,137.63589,2019-10-08 11:30:00
84.74413,137.63687,2019-10-08 11:40:00
84.74313,137.63766,2019-10-08 11:50:00
84.74210,137.63829,2019-10-08 12:00:00
84.74121,137.63863,2019-10-08 12:10:00
84.74029,137.63876,2019-10-08 12:20:00
84.73937,137.63870,2019-10-08 12:30:00
84.73846,137.63852,2019-10-08 12:40:00
84.73756,137.63814,2019-10-08 12:50:00
84.73671,137.63760,2019-10-08 13:00:00
84.73589,137.63693,2019-10-08 13:10:00
84.73507,137.63615,2019-10-08 13:20:00
84.73428,137.63524,2019-10-08 13:30:00
84.73350,137.63428,2019-10-08 13:40:00
84.73271,137.63348,2019-10-08 13:50:00
84.73193,137.63264,2019-10-08 14:00:00
84.73118,137.63184,2019-10-08 14:10:00
84.73044,137.63089,2019-10-08 14:20:00
84.72971,137.62999,2019-10-08 14:30:00
84.72902,137.62891,2019-10-08 14:40:00
84.72838,137.62798,2019-10-08 14:50:00
84.72775,137.62694,2019-10-08 15:00:00
84.72713,137.62602,2019-10-08 15:10:00
84.72652,137.62500,2019-10-08 15:20:00
84.72591,137.62407,2019-10-08 15:31:00
84.72536,137.62302,2019-10-08 15:40:00
84.72475,137.62225,2019-10-08 15:50:00
84.72417,137.62148,2019-10-08 16:00:00
84.72360,137.62065,2019-10-08 16:10:00
84.72305,137.61992,2019-10-08 16:20:00
84.72250,137.61932,2019-10-08 16:30:00
84.72195,137.61891,2019-10-08 16:40:00
84.72141,137.61852,2019-10-08 16:50:00
84.72086,137.61819,2019-10-08 17:00:00
84.72030,137.61800,2019-10-08 17:10:00
84.71975,137.61789,2019-10-08 17:20:00
84.71920,137.61780,2019-10-08 17:30:00
84.71864,137.61766,2019-10-08 17:40:00
84.71809,137.61739,2019-10-08 17:50:00
84.71748,137.61714,2019-10-08 18:01:00
84.71694,137.61691,2019-10-08 18:10:00
84.71635,137.61665,2019-10-08 18:20:00
84.71574,137.61630,2019-10-08 18:30:00
84.71513,137.61601,2019-10-08 18:40:00
84.71449,137.61575,2019-10-08 18:50:00
84.71385,137.61545,2019-10-08 19:00:00
84.71321,137.61505,2019-10-08 19:10:00
84.71256,137.61456,2019-10-08 19:20:00
84.71191,137.61394,2019-10-08 19:30:00
84.71125,137.61313,2019-10-08 19:40:00
84.71059,137.61223,2019-10-08 19:50:00
84.70994,137.61099,2019-10-08 20:00:00
84.70930,137.60945,2019-10-08 20:10:00
84.70866,137.60786,2019-10-08 20:20:00
84.70805,137.60619,2019-10-08 20:30:00
84.70744,137.60425,2019-10-08 20:40:00
84.70688,137.60242,2019-10-08 20:50:00
84.70627,137.60059,2019-10-08 21:00:00
84.70573,137.59853,2019-10-08 21:10:00
