latitude,longitude,datetime
84.98340,134.50189,2019-10-11 02:00:15
84.97623,134.53131,2019-10-11 04:00:14
84.97041,134.58043,2019-10-11 06:00:14
84.96091,134.64899,2019-10-11 08:00:14
84.95140,134.67827,2019-10-11 10:00:14
84.94425,134.68451,2019-10-11 12:00:14
84.93974,134.69975,2019-10-11 14:00:14
84.93723,134.74272,2019-10-11 16:00:14
84.93510,134.80446,2019-10-11 18:00:15
84.93208,134.85526,2019-10-11 20:00:14
84.93036,134.87430,2019-10-11 22:00:14
84.93266,134.86122,2019-10-12 00:00:14
84.93924,134.84987,2019-10-12 02:00:14
84.94711,134.85315,2019-10-12 04:00:14
84.95344,134.84898,2019-10-12 06:00:14
84.95715,134.82462,2019-10-12 08:00:14
84.95879,134.76541,2019-10-12 10:00:14
84.96061,134.66893,2019-10-12 12:00:15
84.96344,134.56831,2019-10-12 14:00:14
84.96622,134.49960,2019-10-12 16:00:14
84.96701,134.45438,2019-10-12 18:00:14
84.96544,134.40176,2019-10-12 20:00:14
84.96340,134.31239,2019-10-12 22:00:14
84.96233,134.20390,2019-10-13 00:00:14
84.96230,134.10687,2019-10-13 02:00:15
84.96130,134.03867,2019-10-13 04:00:14
84.95872,133.98784,2019-10-13 06:00:14
84.95501,133.93274,2019-10-13 08:02:25
84.95090,133.87180,2019-10-13 10:00:15
84.94677,133.82211,2019-10-13 12:00:14
84.94227,133.80084,2019-10-13 14:00:14
84.93662,133.81638,2019-10-13 16:00:14
84.92731,133.82491,2019-10-13 18:00:15
84.91688,133.79010,2019-10-13 20:00:14
84.90656,133.71750,2019-10-13 22:00:14
84.89833,133.63065,2019-10-14 00:00:14
84.89159,133.56226,2019-10-14 02:00:14
84.88577,133.51511,2019-10-14 04:00:14
84.88007,133.48428,2019-10-14 06:00:14
84.87372,133.45993,2019-10-14 08:00:15
84.86710,133.42108,2019-10-14 10:00:14
84.86264,133.36754,2019-10-14 12:00:14
84.86050,133.32370,2019-10-14 14:00:14
84.85950,133.31171,2019-10-14 16:00:14
84.85824,133.33121,2019-10-14 18:00:14
84.85624,133.35501,2019-10-14 20:00:15
84.85460,133.35486,2019-10-14 22:00:14
84.85460,133.32915,2019-10-15 00:00:14
84.85647,133.30263,2019-10-15 02:00:14
84.85902,133.29675,2019-10-15 04:00:15
84.86056,133.30649,2019-10-15 06:00:14
84.86052,133.30717,2019-10-15 08:00:14
84.85995,133.27959,2019-10-15 10:00:14
84.86031,133.22864,2019-10-15 12:00:15
84.86207,133.17882,2019-10-15 14:00:14
84.86400,133.15021,2019-10-15 16:00:14
84.86469,133.13350,2019-10-15 18:00:14
84.86341,133.09050,2019-10-15 20:00:15
84.86224,133.00694,2019-10-15 22:00:14
84.86202,132.88913,2019-10-16 00:00:14
84.86348,132.78685,2019-10-16 02:00:14
84.86505,132.71623,2019-10-16 04:00:14
84.86481,132.67195,2019-10-16 06:00:14
84.86269,132.62112,2019-10-16 08:00:14
84.86034,132.54485,2019-10-16 10:00:15
84.85964,132.45073,2019-10-16 12:00:14
84.86066,132.36655,2019-10-16 14:00:14
84.86255,132.30731,2019-10-16 16:00:14
84.86319,132.27403,2019-10-16 18:00:14
84.86129,132.24382,2019-10-16 20:00:14
84.85891,132.18997,2019-10-16 22:00:14
84.85729,132.10460,2019-10-17 00:00:14
84.85674,132.02228,2019-10-17 02:00:15
84.85722,131.97050,2019-10-17 04:00:14
84.85754,131.95831,2019-10-17 06:00:14
84.85640,131.96149,2019-10-17 08:00:14
84.85431,131.95102,2019-10-17 10:00:14
84.85297,131.92778,2019-10-17 12:00:14
84.85332,131.91660,2019-10-17 14:00:14
84.85528,131.93726,2019-10-17 16:00:14
