latitude,longitude,datetime
84.87740,135.18263,2019-10-10 03:30:26
84.87835,135.15967,2019-10-10 04:00:54
84.87922,135.13873,2019-10-10 04:30:25
84.87997,135.11887,2019-10-10 05:00:24
84.88055,135.10072,2019-10-10 05:30:26
84.88094,135.08392,2019-10-10 06:00:27
84.88113,135.06773,2019-10-10 06:30:54
84.88116,135.05353,2019-10-10 07:00:28
84.88103,135.04095,2019-10-10 07:30:26
84.88073,135.02901,2019-10-10 08:00:26
84.88027,135.01711,2019-10-10 08:30:55
84.87980,135.00548,2019-10-10 09:00:26
84.87923,134.99403,2019-10-10 09:30:30
84.87853,134.98166,2019-10-10 10:00:28
84.87772,134.96852,2019-10-10 10:30:26
84.87695,134.95470,2019-10-10 11:00:28
84.87614,134.94106,2019-10-10 11:30:54
84.87542,134.92834,2019-10-10 12:00:26
84.87474,134.91626,2019-10-10 12:30:25
84.87409,134.90538,2019-10-10 13:00:27
84.87347,134.89569,2019-10-10 13:30:26
84.87291,134.88745,2019-10-10 14:00:54
84.87237,134.88190,2019-10-10 14:30:25
84.87184,134.87859,2019-10-10 15:00:24
84.87140,134.87759,2019-10-10 15:30:25
84.87096,134.87868,2019-10-10 16:00:30
84.87058,134.88174,2019-10-10 16:30:28
84.87013,134.88763,2019-10-10 17:00:25
84.86964,134.89656,2019-10-10 17:30:26
84.86903,134.90834,2019-10-10 18:00:26
84.86826,134.92282,2019-10-10 18:30:54
84.86743,134.93805,2019-10-10 19:00:28
84.86645,134.95367,2019-10-10 19:30:25
84.86526,134.97035,2019-10-10 20:00:25
84.86388,134.98790,2019-10-10 20:30:26
84.86231,135.00737,2019-10-10 21:00:49
84.86069,135.02629,2019-10-10 21:30:26
84.85892,135.04486,2019-10-10 22:00:27
84.85683,135.06351,2019-10-10 22:30:25
84.85455,135.08133,2019-10-10 23:00:26
84.85226,135.09752,2019-10-10 23:30:26
84.84985,135.11272,2019-10-11 00:00:55
84.84750,135.12607,2019-10-11 00:30:25
84.84518,135.13788,2019-10-11 01:00:27
84.84293,135.14844,2019-10-11 01:30:25
84.84077,135.15804,2019-10-11 02:00:25
84.83870,135.16592,2019-10-11 02:30:29
84.83677,135.17303,2019-10-11 03:00:28
84.83498,135.18105,2019-10-11 03:30:54
84.83334,135.18944,2019-10-11 04:00:27
84.83187,135.19879,2019-10-11 04:30:25
84.83061,135.20908,2019-10-11 05:00:25
84.82941,135.22128,2019-10-11 05:30:55
84.82784,135.23560,2019-10-11 06:00:25
84.82584,135.25284,2019-10-11 06:30:26
84.82349,135.27124,2019-10-11 07:00:27
84.82094,135.28799,2019-10-11 07:30:26
84.81832,135.30246,2019-10-11 08:00:54
84.81579,135.31367,2019-10-11 08:30:25
84.81330,135.32236,2019-10-11 09:00:26
84.81090,135.32854,2019-10-11 09:30:26
84.80866,135.33282,2019-10-11 10:00:28
84.80663,135.33572,2019-10-11 10:30:26
84.80479,135.33772,2019-10-11 11:00:54
84.80313,135.33893,2019-10-11 11:30:25
84.80161,135.34024,2019-10-11 12:00:25
84.80027,135.34221,2019-10-11 12:30:26
84.79910,135.34532,2019-10-11 13:00:28
84.79813,135.34959,2019-10-11 13:30:30
84.79720,135.35580,2019-10-11 14:00:26
84.79639,135.36411,2019-10-11 14:30:25
